Symbol,Full Name,GICS Sector,GICS Sub-Industry,environmentScore,socialScore,governanceScore,totalEsg,highestControversy,percentile,ratingYear,ratingMonth,marketCap,beta,overallRisk
BAC,Bank of America,Financials,Diversified Banks,1.73,15.09,11.48,28.3,3.0,62.26,2023.0,9.0,306891390976,1.34,2
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",7.6,0.76,3.74,12.1,2.0,5.17,2023.0,9.0,20405639168,0.878,8
BAX,Baxter International,Health Care,Health Care Equipment,2.83,13.6,7.14,23.57,3.0,42.59,2023.0,9.0,20539770880,0.593,4
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,12.17,10.25,5.88,28.3,2.0,62.27,2023.0,9.0,6389305856,1.753,8
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,2.4,9.09,4.4,15.89,2.0,13.69,2023.0,9.0,21360842752,1.479,1
BDX,Becton Dickinson,Health Care,Health Care Equipment,3.04,13.65,7.13,23.82,3.0,43.69,2023.0,9.0,67647401984,0.447,10
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,1.12,9.88,7.3,18.3,2.0,21.58,2023.0,9.0,10643009536,1.408,7
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,14.39,13.26,5.27,32.92,3.0,78.24,2023.0,9.0,13837887488,0.637,3
BIIB,Biogen,Health Care,Biotechnology,0.42,14.46,7.37,22.24,3.0,37.02,2023.0,9.0,29071065088,-0.057,3
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,1.21,9.18,7.0,17.4,1.0,18.38,2023.0,9.0,9264203776,0.947,10
BK,BNY Mellon,Financials,Asset Management & Custody Banks,1.13,9.86,9.94,20.93,2.0,31.45,2023.0,9.0,52254806016,1.067,1
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.98,10.13,8.13,19.23,3.0,25.19,2023.0,9.0,135520034816,1.4,1
BLK,BlackRock,Financials,Asset Management & Custody Banks,0.9,7.36,9.99,18.25,2.0,21.43,2023.0,9.0,133984739328,1.317,9
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,1.31,14.37,7.07,22.74,2.0,39.01,2023.0,9.0,100336025600,0.458,4
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,4.19,7.5,4.94,16.63,2.0,16.04,2023.0,9.0,24700252160,1.059,3
BRO,Brown & Brown,Financials,Insurance Brokers,0.13,9.77,10.58,20.48,1.0,29.78,2023.0,9.0,29438932992,0.829,4
BSX,Boston Scientific,Health Care,Health Care Equipment,2.36,11.85,8.89,23.11,2.0,40.67,2023.0,9.0,122978729984,0.797,8
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,2.67,4.21,5.71,12.59,2.0,5.92,2023.0,9.0,7493600256,1.182,1
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,2.52,9.57,11.29,23.39,2.0,41.78,2023.0,9.0,188779577344,1.5,10
BXP,"BXP, Inc.",Real Estate,Office REITs,2.54,4.52,5.45,12.51,1.0,5.77,2023.0,9.0,14431182848,1.199,10
C,Citigroup,Financials,Diversified Banks,1.8,13.75,13.69,29.24,4.0,65.93,2023.0,9.0,113113464832,1.435,1
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,10.71,15.42,4.7,30.83,2.0,71.86,2023.0,9.0,15617014784,0.309,6
CAH,Cardinal Health,Health Care,Health Care Distributors,1.17,7.33,6.36,14.86,3.0,10.83,2023.0,9.0,27622834176,0.616,1
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,10.43,17.69,8.06,36.17,4.0,86.38,2023.0,9.0,171503566848,1.089,6
CB,Chubb Limited,Financials,Property & Casualty Insurance,1.46,11.54,10.61,23.6,2.0,42.77,2023.0,9.0,117455929344,0.674,8
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2.73,7.58,10.64,20.95,1.0,31.57,2023.0,9.0,22355052544,0.673,2
CBRE,CBRE Group,Real Estate,Real Estate Services,1.46,1.89,4.64,7.98,1.0,1.56,2023.0,9.0,36618518528,1.4,3
CCI,Crown Castle,Real Estate,Telecom Tower REITs,4.08,1.67,4.35,10.1,0.0,2.79,2023.0,9.0,52256673792,0.861,4
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",9.4,10.13,4.96,24.49,3.0,46.81,2023.0,9.0,23359668224,2.693,10
CDNS,Cadence Design Systems,Information Technology,Application Software,2.33,4.88,4.81,12.02,0.0,5.06,2023.0,9.0,75243003904,1.02,3
CDW,CDW,Information Technology,Technology Distributors,2.48,3.21,3.52,9.21,0.0,2.18,2023.0,9.0,29830193152,1.033,3
CE,Celanese,Materials,Specialty Chemicals,14.7,5.86,5.57,26.13,2.0,53.65,2023.0,9.0,13741040640,1.294,5
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,16.19,7.73,5.42,29.33,1.0,66.33,2023.0,9.0,14698166272,0.946,2
CFG,Citizens Financial Group,Financials,Regional Banks,1.96,10.15,11.43,23.54,2.0,42.45,2023.0,9.0,18201001984,1.328,9
CHD,Church & Dwight,Consumer Staples,Household Products,6.89,6.31,6.66,19.86,1.0,27.47,2023.0,9.0,25759404032,0.54,4
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,4.73,9.29,5.3,19.32,1.0,25.57,2023.0,9.0,11764709376,0.825,9
CHTR,Charter Communications,Communication Services,Cable & Satellite,6.05,10.72,7.95,24.72,2.0,47.74,2023.0,9.0,49012998144,1.051,10
CI,Cigna,Health Care,Health Care Services,0.02,5.99,5.65,11.65,2.0,2.83,2021.0,3.0,102552567808,0.509,5
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1.76,10.97,12.88,25.61,1.0,51.6,2023.0,9.0,21433022464,0.671,8
CL,Colgate-Palmolive,Consumer Staples,Household Products,8.32,11.31,6.54,26.17,2.0,53.82,2023.0,9.0,86145523712,0.399,1
CLX,Clorox,Consumer Staples,Household Products,7.72,8.59,5.31,21.63,2.0,34.52,2023.0,9.0,20554795008,0.393,6
CMCSA,Comcast,Communication Services,Cable & Satellite,3.96,10.9,8.23,23.09,2.0,40.6,2023.0,9.0,152111792128,1.01,10
CME,CME Group,Financials,Financial Exchanges & Data,2.13,6.48,9.19,17.8,1.0,19.85,2023.0,9.0,78691844096,0.561,10
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,6.79,9.59,4.27,20.66,2.0,30.44,2023.0,9.0,80114573312,1.256,3
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,5.62,7.74,5.94,19.3,2.0,25.47,2023.0,9.0,41332305920,0.975,6
CMS,CMS Energy,Utilities,Multi-Utilities,9.61,6.84,5.24,21.7,2.0,34.89,2023.0,9.0,21054464000,0.403,1
CNC,Centene Corporation,Health Care,Managed Health Care,0.09,13.28,6.51,19.89,2.0,27.59,2023.0,9.0,40278089728,0.484,1
CNP,CenterPoint Energy,Utilities,Multi-Utilities,12.92,10.67,5.14,28.73,2.0,64.04,2023.0,9.0,18456739840,0.913,4
COF,Capital One,Financials,Consumer Finance,0.13,12.28,10.09,22.5,3.0,38.0,2023.0,9.0,55399669760,1.447,3
COO,Cooper Companies (The),Health Care,Health Care Supplies,2.7,8.8,5.96,17.47,2.0,18.56,2023.0,9.0,22152052736,0.981,7
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,17.57,8.07,8.28,33.91,2.0,80.76,2023.0,9.0,125751771136,1.228,5
COR,Cencora,Health Care,Health Care Distributors,1.57,5.53,5.65,12.75,3.0,6.2,2023.0,9.0,47284768768,0.441,3
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,6.52,11.22,5.55,23.29,3.0,41.46,2023.0,9.0,402490195968,0.788,2
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,10.87,8.15,4.47,23.5,2.0,42.3,2023.0,9.0,15393454080,0.175,4
CPRT,Copart,Industrials,Diversified Support Services,1.48,8.96,5.59,16.03,1.0,14.11,2023.0,9.0,48807755776,1.271,9
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,4.0,3.93,8.17,16.09,1.0,14.31,2023.0,9.0,13321857024,0.916,7
CRM,Salesforce,Information Technology,Application Software,2.01,7.48,5.39,14.88,1.0,10.87,2023.0,9.0,243961643008,1.297,9
CSCO,Cisco,Information Technology,Communications Equipment,0.45,6.9,6.51,13.87,2.0,8.46,2023.0,9.0,201970843648,0.819,1
CSGP,CoStar Group,Real Estate,Real Estate Services,4.86,9.34,7.71,21.91,1.0,35.72,2023.0,9.0,31924740096,0.816,4
CSX,CSX Corporation,Industrials,Rail Transportation,7.04,10.03,4.84,21.91,2.0,35.73,2023.0,9.0,66052870144,1.189,4
CTAS,Cintas,Industrials,Diversified Support Services,3.03,9.17,5.88,18.08,2.0,20.74,2023.0,9.0,82610397184,1.312,8
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,20.26,8.34,7.47,36.07,2.0,86.16,2023.0,9.0,17010694144,0.199,6
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,1.11,7.64,5.91,14.66,2.0,10.38,2023.0,9.0,38596894720,1.05,2
CVS,CVS Health,Health Care,Health Care Services,0.03,15.76,6.17,21.97,3.0,35.97,2023.0,9.0,73428492288,0.528,5
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,17.01,9.18,10.42,36.6,3.0,87.22,2023.0,9.0,260253302784,1.08,1
D,Dominion Energy,Utilities,Multi-Utilities,11.94,8.84,5.62,26.4,2.0,54.6,2023.0,9.0,49103040512,0.602,2
DAL,Delta Air Lines,Industrials,Passenger Airlines,9.88,14.57,5.8,30.26,2.0,69.9,2023.0,9.0,30128158720,1.349,4
DD,DuPont,Materials,Specialty Chemicals,14.66,7.99,5.94,28.6,3.0,63.49,2023.0,9.0,34593636352,1.325,8
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,2.67,10.79,6.49,19.95,2.0,27.77,2023.0,9.0,108859965440,0.929,7
DFS,Discover Financial,Financials,Consumer Finance,0.13,11.87,10.51,22.5,2.0,38.02,2023.0,9.0,34542485504,1.41,7
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,3.5,8.56,5.53,17.59,2.0,19.04,2023.0,9.0,18914889728,0.444,9
DGX,Quest Diagnostics,Health Care,Health Care Services,0.13,13.07,8.0,21.21,3.0,32.72,2023.0,9.0,17405513728,0.889,3
DHI,DR Horton,Consumer Discretionary,Homebuilding,8.71,6.66,5.66,21.03,2.0,31.94,2023.0,9.0,63652651008,1.728,6
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,1.35,5.16,5.35,11.86,2.0,4.8,2023.0,9.0,199352418304,0.861,8
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,0.04,8.96,6.71,15.7,2.0,13.18,2023.0,9.0,168409972736,1.398,3
DLR,Digital Realty,Real Estate,Data Center REITs,2.8,2.81,7.0,12.61,0.0,5.95,2023.0,9.0,53710041088,0.619,9
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,3.29,12.78,4.02,20.08,2.0,28.26,2023.0,9.0,15801912320,0.872,3
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,7.98,12.48,5.42,25.88,1.0,52.67,2023.0,9.0,25890215936,1.218,4
DPZ,Domino's,Consumer Discretionary,Restaurants,10.65,12.2,6.34,29.19,2.0,65.74,2023.0,9.0,14424346624,0.858,9
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,7.92,15.0,4.55,27.47,2.0,58.8,2023.0,9.0,19135490048,1.303,2
DTE,DTE Energy,Utilities,Multi-Utilities,15.03,10.04,4.73,29.8,2.0,68.08,2023.0,9.0,26159034368,0.676,6
DUK,Duke Energy,Utilities,Electric Utilities,11.52,10.68,4.81,27.01,2.0,56.89,2023.0,9.0,90888200192,0.457,2
DVA,DaVita,Health Care,Health Care Services,0.07,14.08,8.42,22.56,2.0,38.3,2023.0,9.0,13859445760,0.863,2
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,17.67,8.56,7.53,33.76,2.0,80.43,2023.0,9.0,25336051712,2.069,2
DXCM,Dexcom,Health Care,Health Care Equipment,5.35,10.62,8.08,24.05,1.0,44.85,2023.0,9.0,28086915072,1.183,4
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,0.13,8.42,4.73,13.29,2.0,7.3,2023.0,9.0,38710616064,0.791,2
EBAY,eBay,Consumer Discretionary,Broadline Retail,2.74,7.65,7.21,17.6,2.0,19.11,2023.0,9.0,31726319616,1.312,5
ECL,Ecolab,Materials,Specialty Chemicals,8.54,6.05,5.27,19.86,2.0,27.49,2023.0,9.0,72044814336,1.136,4
ED,Consolidated Edison,Utilities,Multi-Utilities,6.86,10.86,6.08,23.81,3.0,43.66,2023.0,9.0,36293570560,0.348,5
EFX,Equifax,Industrials,Research & Consulting Services,0.08,16.3,6.78,23.16,3.0,40.91,2023.0,9.0,37629485056,1.583,6
EG,Everest Group,Financials,Reinsurance,1.39,6.67,9.91,17.96,1.0,20.35,2023.0,9.0,16770212864,0.615,4
EIX,Edison International,Utilities,Electric Utilities,10.98,11.42,5.11,27.51,3.0,59.05,2023.0,9.0,33307713536,0.921,1
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,6.95,11.05,7.48,25.48,2.0,51.03,2023.0,9.0,30537748480,0.997,10
ELV,Elevance Health,Health Care,Managed Health Care,0.07,6.03,5.29,11.38,2.0,4.15,2023.0,9.0,128348798976,0.832,1
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,12.84,5.85,6.59,25.27,2.0,50.1,2023.0,9.0,12378979328,1.45,7
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,8.77,13.05,6.55,28.36,1.0,62.49,2023.0,9.0,59430801408,1.293,8
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,20.16,6.67,7.33,34.16,1.0,81.36,2023.0,9.0,70045835264,1.288,2
EQIX,Equinix,Real Estate,Data Center REITs,3.44,5.31,5.13,13.88,1.0,8.5,2023.0,9.0,83225911296,0.7,5
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2.98,2.87,6.05,11.91,1.0,4.87,2023.0,9.0,30392528896,0.91,8
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,17.66,10.08,7.95,35.69,1.0,85.01,2023.0,9.0,19929661440,1.062,4
ES,Eversource,Utilities,Electric Utilities,4.67,8.56,5.39,18.62,2.0,22.76,2023.0,9.0,24445104128,0.618,8
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,3.46,2.84,6.13,12.44,1.0,5.7,2023.0,9.0,20950151168,0.895,8
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,5.46,6.76,5.72,17.94,1.0,20.26,2023.0,9.0,124099715072,1.007,3
ETR,Entergy,Utilities,Electric Utilities,14.04,7.3,5.32,26.67,2.0,55.54,2023.0,9.0,27601307648,0.723,3
EW,Edwards Lifesciences,Health Care,Health Care Equipment,2.86,8.08,7.63,18.57,1.0,22.56,2023.0,9.0,40499355648,1.132,3
EXC,Exelon,Utilities,Electric Utilities,7.38,9.05,6.44,22.86,3.0,39.46,2023.0,9.0,40450048000,0.601,1
EXPD,Expeditors International,Industrials,Air Freight & Logistics,4.15,7.56,4.84,16.56,2.0,15.79,2023.0,9.0,17457532928,0.958,8
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",4.27,13.31,10.08,27.65,2.0,59.72,2023.0,9.0,17677033472,1.793,10
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,4.23,3.72,7.26,15.2,1.0,11.76,2023.0,9.0,39176241152,0.871,8
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,7.43,6.41,8.51,22.35,3.0,37.41,2023.0,9.0,43330224128,1.635,10
FAST,Fastenal,Industrials,Trading Companies & Distributors,9.28,8.29,7.1,24.67,2.0,47.51,2023.0,9.0,40423079936,0.996,3
FCX,Freeport-McMoRan,Materials,Copper,15.26,9.96,6.4,31.61,4.0,74.44,2023.0,9.0,61971775488,1.891,3
FDS,FactSet,Financials,Financial Exchanges & Data,4.32,8.75,5.3,18.37,1.0,21.85,2023.0,9.0,17269403648,0.748,6
FDX,FedEx,Industrials,Air Freight & Logistics,5.66,8.42,5.61,19.68,2.0,26.83,2023.0,9.0,72837300224,1.185,7
FE,FirstEnergy,Utilities,Electric Utilities,10.77,8.99,5.79,25.56,3.0,51.31,2023.0,9.0,25536411648,0.489,7
FFIV,"F5, Inc.",Information Technology,Communications Equipment,4.14,7.61,5.4,17.15,1.0,17.69,2023.0,9.0,12510163968,1.057,3
FI,Fiserv,Financials,Transaction & Payment Processing Services,4.12,8.74,6.77,19.64,2.0,26.71,2023.0,9.0,100953350144,0.933,1
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,4.09,8.17,5.21,17.48,1.0,18.61,2023.0,9.0,46394933248,1.086,6
FITB,Fifth Third Bank,Financials,Diversified Banks,1.19,8.15,7.5,16.84,2.0,16.65,2023.0,9.0,28733145088,1.239,6
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,14.35,8.92,7.46,30.73,1.0,71.55,2023.0,9.0,7908886016,0.855,7
FRT,Federal Realty,Real Estate,Retail REITs,2.27,4.34,5.82,12.42,1.0,4.3,2021.0,9.0,9881507840,1.256,4
FTNT,Fortinet,Information Technology,Systems Software,2.5,10.03,6.37,18.9,1.0,23.77,2023.0,9.0,58393071616,0.998,6
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,16.09,13.97,4.7,34.76,1.0,82.8,2023.0,9.0,26181060608,1.161,6
GD,General Dynamics,Industrials,Aerospace & Defense,9.37,18.9,6.93,35.19,3.0,83.88,2023.0,9.0,84507975680,0.607,2
GE,GE Aerospace,Industrials,Aerospace & Defense,14.24,15.41,10.9,40.55,3.0,92.22,2023.0,9.0,195533619200,1.179,4
GEN,Gen Digital,Information Technology,Systems Software,3.35,8.2,5.39,16.94,2.0,16.94,2023.0,9.0,16286790656,1.06,1
GILD,Gilead Sciences,Health Care,Biotechnology,1.0,14.34,7.62,22.97,2.0,39.94,2023.0,9.0,103396417536,0.196,2
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,8.32,8.72,4.09,21.13,2.0,32.41,2023.0,9.0,41540526080,0.091,6
GL,Globe Life,Financials,Life & Health Insurance,1.58,8.28,10.49,20.35,2.0,29.24,2023.0,9.0,9538871296,0.808,4
GLW,Corning Inc.,Information Technology,Electronic Components,5.53,4.81,6.13,16.48,2.0,15.51,2023.0,9.0,37051850752,1.036,7
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,9.83,11.48,7.19,28.5,4.0,63.16,2023.0,9.0,53408677888,1.439,9
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1.56,11.16,11.51,24.22,4.0,45.66,2023.0,9.0,1966598389760,1.039,10
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,4.67,5.18,3.8,13.66,2.0,8.02,2023.0,9.0,19135287296,0.913,6
GPN,Global Payments,Financials,Transaction & Payment Processing Services,3.65,10.68,6.54,20.87,1.0,31.22,2023.0,9.0,28514754560,0.991,7
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,4.78,11.63,4.25,20.66,1.0,30.47,2023.0,9.0,33179969536,1.009,9
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,0.88,12.76,11.82,25.45,2.0,50.92,2023.0,9.0,153286164480,1.353,6
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,4.54,5.55,5.91,16.0,2.0,14.01,2023.0,9.0,49508282368,1.159,5
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,9.79,8.9,6.94,25.63,2.0,51.73,2023.0,9.0,25866889216,1.906,4
HAS,Hasbro,Consumer Discretionary,Leisure Products,0.04,2.88,4.16,7.08,2.0,1.27,2023.0,9.0,9817040896,0.596,3
HBAN,Huntington Bancshares,Financials,Regional Banks,1.97,11.19,8.68,21.84,2.0,35.46,2023.0,9.0,21263603712,1.068,9
HCA,HCA Healthcare,Health Care,Health Care Facilities,3.9,17.72,7.22,28.84,3.0,64.44,2023.0,9.0,104114790400,1.678,5
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,3.32,5.56,3.76,12.64,2.0,5.97,2023.0,9.0,380669591552,1.003,2
HES,Hess Corporation,Energy,Integrated Oil & Gas,18.93,7.2,6.98,33.11,2.0,78.79,2023.0,9.0,40304525312,1.164,9
HIG,Hartford (The),Financials,Property & Casualty Insurance,1.81,7.24,7.58,16.63,1.0,16.04,2023.0,9.0,34303150080,0.924,4
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",6.11,7.0,4.45,17.56,2.0,18.92,2023.0,9.0,54307586048,1.31,6
HOLX,Hologic,Health Care,Health Care Equipment,4.57,12.08,8.35,25.0,1.0,48.93,2023.0,9.0,19208910848,0.984,7
HON,Honeywell,Industrials,Industrial Conglomerates,10.99,10.59,7.04,28.62,3.0,63.65,2023.0,9.0,132688805888,1.027,6
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",0.95,4.14,5.6,10.69,2.0,3.28,2023.0,9.0,23635793920,1.203,2
